,# First name, Last name, Student number, Quizzes average, HW1 mark, HW2 mark, HW3 mark, Exam1 mark, Exam2 mark, Final exam mark
55,JAVIER, SLUYS,864998622,95.0,77.0,90.0,94.0,88.0,64.0,82
56,HOLDEN, STATHIS,637235353,99.0,66.0,83.0,86.0,86.0,67.0,87
57,TAWNYA, KHURANA,187126246,100.0,69.0,91.0,92.0,87.0,64.0,93
58,VINICIUS, ZHOU,843626833,88.0,62.0,90.0,93.0,91.0,57.0,80
59,NATHALIE, GEBEL,980187871,93.0,75.0,85.0,93.0,100.0,53.0,75
60,ALVIN, NAYAK,444484295,99.0,75.0,81.0,92.0,89.0,67.0,92
61,LIN, MALKOVICH,839455529,89.0,70.0,93.0,91.0,89.0,56.0,75
62,SACHA, GAMBOA,292363026,88.0,76.0,82.0,87.0,100.0,70.0,83
63,EVERETT, SABRI,414002610,91.0,76.0,84.0,78.0,78.0,52.0,88
64,MADONNA, HOPKINS,689673317,93.0,69.0,89.0,92.0,92.0,63.0,92
65,YEN, ANNAB,955243828,98.0,80.0,80.0,91.0,90.0,72.0,87
66,MONETTE, OPINALDO,678982639,93.0,73.0,88.0,92.0,100.0,71.0,86
67,AHMET, VEERMAN,485438097,93.0,68.0,84.0,83.0,87.0,71.0,93
68,MARVIN, KANG,153850257,100.0,73.0,84.0,92.0,84.0,65.0,84
69,CRISTINE, SIRMIS,25523829,100.0,78.0,89.0,94.0,99.0,77.0,81
70,SUK, LEWIS,378835143,98.0,74.0,86.0,89.0,87.0,64.0,89
71,USHA, ELMOURSI,68284053,92.0,77.0,89.0,93.0,88.0,61.0,92
72,MAKSYM, VANDEWIELE,759628360,97.0,66.0,87.0,97.0,100.0,66.0,89
73,SHARLEEN, ZHU,16196499,99.0,75.0,91.0,81.0,84.0,63.0,88
74,FORBES, MILEUSNIC,91063682,89.0,77.0,82.0,92.0,78.0,69.0,95
75,ANNABELLE, BIRRU,525952870,93.0,74.0,88.0,89.0,91.0,100.0,85
76,BETHEL, HINCKS,986558931,92.0,76.0,87.0,96.0,90.0,76.0,91
77,ALLA, ZHENG,140551979,100.0,83.0,90.0,83.0,90.0,67.0,91
78,KEILA, RYAN,96322919,98.0,80.0,82.0,96.0,92.0,77.0,84
79,CAMILA, SIRMIS,13482200,88.0,77.0,79.0,85.0,85.0,65.0,85
80,NIELS, PUVIRAJAN,875652957,100.0,78.0,86.0,90.0,92.0,66.0,83
81,JAGROOP, ALJUMAILI,268065467,90.0,72.0,78.0,83.0,100.0,100.0,82
82,TIFFANY, BANSAL,382280170,90.0,72.0,87.0,94.0,88.0,50.0,83
83,SLOBODAN, LUKOWSKI,374373201,98.0,73.0,86.0,85.0,82.0,62.0,82
84,MAJELLA, VAN,886550779,97.0,85.0,79.0,87.0,92.0,65.0,88
85,MALINDA, PATEL,953226082,89.0,77.0,79.0,100.0,86.0,64.0,85
86,SATWINDER, ISLAM,679421923,97.0,67.0,84.0,83.0,84.0,66.0,93
87,DIMITRIOS, ROBERT,503307790,97.0,78.0,81.0,94.0,82.0,100.0,91
88,DILAN, PAZ,369842524,98.0,67.0,78.0,88.0,84.0,64.0,90
89,AWN, HOGAN,229648835,91.0,76.0,85.0,88.0,88.0,67.0,76
90,MONIC, RADUCANU,509107634,98.0,74.0,89.0,84.0,93.0,72.0,88
91,MARY-LOU, OLUTAYO,119625290,98.0,67.0,83.0,88.0,82.0,63.0,100
92,TYRESE, TOTAH,740803768,100.0,74.0,82.0,92.0,95.0,68.0,89
93,GISELE, LOURENCO,928908617,93.0,74.0,95.0,89.0,83.0,76.0,79
94,CHAD, HAMZAT,581663694,100.0,70.0,88.0,92.0,93.0,63.0,86
95,DAMION, HALL,280873460,97.0,78.0,83.0,90.0,90.0,67.0,76
96,MURTAZA, LEBOWITZ,861984583,86.0,67.0,82.0,87.0,90.0,67.0,87
97,ELICIA, CHKEIR,338576260,95.0,80.0,88.0,93.0,90.0,67.0,91
98,MAIJA, VECCHIO,220232703,94.0,72.0,86.0,88.0,89.0,65.0,86
99,ABDULKADIR, DEMARIA,193747820,100.0,68.0,73.0,87.0,96.0,76.0,78
100,JACKLYN, KANG,234695225,97.0,72.0,86.0,94.0,87.0,57.0,83
101,MONIQUE, NIMRI,534518614,97.0,66.0,79.0,95.0,90.0,70.0,76
102,BUSHRA, SHMULEVICH,275844378,93.0,82.0,83.0,97.0,88.0,60.0,92
103,WARIS, SHAW,825716169,98.0,76.0,80.0,91.0,83.0,68.0,87
104,BROOKLYN, SCOTT,463318745,98.0,83.0,94.0,91.0,91.0,66.0,90
105,MACI, QASSEM,672225051,91.0,83.0,83.0,80.0,96.0,67.0,82
106,STACIE, MADSEN,520718080,97.0,74.0,85.0,89.0,87.0,71.0,85
107,CELESTINE, FARAJALLAH,516100731,89.0,73.0,92.0,97.0,89.0,63.0,85
108,JE, RIDLEY,775875232,89.0,80.0,86.0,92.0,88.0,52.0,79
109,RIHANNA, ELGHARIB,4768466,94.0,77.0,90.0,84.0,76.0,63.0,90
110,JAMESON, POZNANSKI,32163285,100.0,70.0,90.0,85.0,79.0,74.0,88
111,WEIDONG, TOMES,363325009,92.0,79.0,86.0,88.0,83.0,70.0,80
112,MUSKAAN, HAIDER,561983910,100.0,77.0,87.0,93.0,91.0,59.0,86
113,DRAGANA, VIGNESWARARASA,997415211,87.0,81.0,86.0,91.0,87.0,65.0,84
114,ODETTE, SIRMIS,986740327,100.0,88.0,77.0,88.0,79.0,64.0,87
115,IDRIS, SLUYS,620414040,100.0,73.0,98.0,88.0,96.0,60.0,88
116,JARRED, SUBBARAYAPRABU,96196059,93.0,67.0,91.0,96.0,91.0,60.0,82
117,CHARLES-OLIVIER, POKHVALIN,541288230,100.0,79.0,83.0,95.0,89.0,62.0,82
118,ORLANDO, KHAN,485689330,98.0,73.0,87.0,94.0,79.0,72.0,93
119,DARLINE, AZOM,700909967,100.0,74.0,89.0,95.0,91.0,64.0,83
120,CHLOE, NARULA,224122983,100.0,67.0,78.0,81.0,85.0,64.0,90
121,AISHA, GILPIN,917966846,92.0,74.0,84.0,80.0,94.0,64.0,88
122,KARLI, STICKLAND,343255004,100.0,76.0,87.0,95.0,87.0,63.0,88
123,SHANELLE, MADSEN,554857007,93.0,77.0,76.0,94.0,86.0,72.0,77
124,AUREL, SIVAGIRINATHAN,350335913,96.0,69.0,80.0,100.0,84.0,71.0,89
125,GURTEJ, TIAN,301132850,98.0,70.0,93.0,91.0,86.0,69.0,89
126,PETERSON, BOSMA,124145842,94.0,72.0,87.0,96.0,96.0,70.0,90
127,SUE, ATTAI,439303157,88.0,77.0,85.0,98.0,85.0,56.0,86
128,GURMAN, SINNO,694787842,100.0,71.0,82.0,95.0,83.0,67.0,91
129,DONNA, SHARMA,185017481,100.0,85.0,84.0,90.0,90.0,59.0,99
130,LORI-ANN, VANOIRSCHOT,586057811,92.0,84.0,86.0,98.0,91.0,100.0,82
131,ASSIA, CREA,230455662,88.0,69.0,78.0,89.0,85.0,63.0,82
132,YANI, VAN,723916263,100.0,65.0,75.0,90.0,87.0,71.0,84
133,DEMETRE, SREEBASKARAN,634287865,95.0,73.0,91.0,92.0,83.0,67.0,90
134,MARLIE, TO,234603019,100.0,78.0,86.0,95.0,85.0,69.0,84
135,LETICIA, RAYAROTH,804896820,93.0,75.0,80.0,91.0,87.0,72.0,83
136,JIAHUI, TIAN,993821623,92.0,82.0,85.0,82.0,80.0,66.0,78
137,HAFSA, AHMED,965896264,85.0,85.0,85.0,86.0,95.0,66.0,77
138,KYU, AMBAL,371746699,100.0,70.0,83.0,86.0,93.0,67.0,84
139,JACKY, TOMAZIC,933584696,90.0,77.0,98.0,91.0,87.0,62.0,83
140,JUDI, ANTUNES,380079331,91.0,72.0,87.0,87.0,86.0,73.0,79
141,GERDA, ALVI,381597872,91.0,71.0,97.0,90.0,86.0,70.0,91
142,CORNELL, VOINA,370915696,100.0,66.0,92.0,87.0,88.0,62.0,87
143,GAYATRI, HUSSAIN,34186222,94.0,78.0,83.0,93.0,93.0,61.0,84
144,JENINE, MONDEGARIAN,791082130,95.0,77.0,80.0,82.0,91.0,61.0,92
145,JENNETTE, KEATLEY,421433000,90.0,78.0,80.0,87.0,88.0,67.0,85
146,ANDERSON, SIVARAJAH,999841418,93.0,69.0,87.0,93.0,90.0,78.0,82
147,JAMIE, ABUHATTAB,513962499,98.0,79.0,89.0,88.0,84.0,61.0,84
148,KONSTANTINA, MALIK,272609414,85.0,81.0,80.0,94.0,90.0,69.0,87
149,BHUPINDER, SIENNA,512862668,93.0,75.0,88.0,95.0,84.0,61.0,85
150,AKHTAR, MOLLAHAJIAN,136858686,91.0,68.0,90.0,90.0,83.0,73.0,89
151,KARIMA, LEONARD,186925620,88.0,82.0,84.0,84.0,92.0,72.0,90
152,ZEN, OZEN,401461933,99.0,78.0,87.0,84.0,88.0,62.0,85
153,SORIN, SINGH,2851384,100.0,80.0,86.0,84.0,91.0,71.0,87
154,YAM, BAYAN,8912621,96.0,77.0,82.0,88.0,95.0,72.0,93
155,NICK, BAL,561400369,97.0,69.0,89.0,88.0,97.0,70.0,84
156,MARIE-PIERRE, GOLDMAN,691927769,88.0,74.0,83.0,85.0,82.0,69.0,85
157,SHAMIM, KAMRAN,818962154,98.0,74.0,83.0,85.0,87.0,74.0,85
158,ALIN, DUONG,488490101,88.0,73.0,84.0,87.0,82.0,63.0,84
159,CELESTINE, AZOM,454169056,91.0,62.0,79.0,93.0,81.0,70.0,95
160,IVY, POSADASUGARTE,31710397,99.0,73.0,82.0,93.0,84.0,70.0,85
161,AUM, NOSRATINIK,712134944,100.0,73.0,88.0,89.0,85.0,54.0,84
162,CHUN, GHADBAN,484274304,93.0,79.0,91.0,93.0,86.0,72.0,83
163,RAMANDEEP, DAVIDSON,976196614,98.0,84.0,83.0,93.0,93.0,74.0,80
164,GARRY, BHANOT,525531227,91.0,78.0,80.0,92.0,92.0,76.0,78
165,EUNICE, VANDEWIELE,447889360,98.0,77.0,79.0,83.0,91.0,66.0,90
166,VIRGINA, ANGEL,832591342,86.0,80.0,86.0,87.0,85.0,63.0,93
167,JEANNINE, POOLE,231542005,92.0,83.0,92.0,89.0,75.0,64.0,82
168,OSMAN, ALI,198056059,91.0,72.0,91.0,93.0,88.0,66.0,80
169,PARVINDER, JI,739445781,93.0,66.0,80.0,95.0,96.0,67.0,90
170,SADE, MOHSIN,80236591,87.0,76.0,80.0,89.0,89.0,54.0,88
171,KOLTEN, MACDONALD,983697220,90.0,73.0,84.0,86.0,88.0,69.0,94
172,LOICK, KINGSON,761055120,100.0,80.0,84.0,85.0,87.0,71.0,87
173,MOIZ, ASKARI,890038696,97.0,65.0,82.0,79.0,81.0,60.0,81
174,KIAN, HU,354556493,95.0,77.0,85.0,91.0,82.0,68.0,81
175,VAUGHN, CHERA,791440814,99.0,64.0,85.0,87.0,90.0,60.0,89
176,VELDA, MIKHAILBROWN,27968153,90.0,72.0,88.0,99.0,89.0,76.0,92
177,ANNIK, YANIV,578146918,100.0,73.0,90.0,94.0,88.0,61.0,84
178,EMAAN, WILTON,280498494,89.0,77.0,87.0,89.0,81.0,66.0,84
179,ZHONG, TUNCAY,441797054,100.0,87.0,93.0,91.0,87.0,74.0,90
180,CEDRICK, MORRISON,187043395,96.0,72.0,93.0,90.0,79.0,67.0,88
181,TAINA, MATHIALAGAN,250228348,89.0,71.0,81.0,90.0,91.0,71.0,90
182,ESTELLA, ASIM,808760134,100.0,72.0,86.0,90.0,91.0,66.0,86
183,ELSPETH, POOLE,880982347,87.0,75.0,88.0,82.0,92.0,72.0,84
184,REECE, MOHAMED,926671115,83.0,75.0,80.0,85.0,82.0,59.0,89
185,TAREQ, MALKOVICH,366010004,97.0,73.0,83.0,93.0,91.0,67.0,89
186,ANHAD, WILFRED,731558064,89.0,81.0,80.0,82.0,97.0,67.0,94
187,JEANE, JADHAV,500386490,93.0,82.0,90.0,93.0,87.0,67.0,83
188,YUYING, DEHMESHKI,285211298,95.0,77.0,74.0,93.0,89.0,65.0,94
189,LARYSA, DALRYMPLE,862564504,90.0,72.0,82.0,98.0,99.0,66.0,92
190,AVIVA, MASSRAF,695075645,100.0,68.0,84.0,87.0,87.0,62.0,92
191,MAHEE, SCOTT,57523418,92.0,74.0,71.0,88.0,86.0,72.0,87
192,LIDIA,100,572022358,100.0,67.0,85.0,98.0,93.0,69.0,83
193,SANGITA, SHUM,50224556,94.0,86.0,84.0,94.0,92.0,67.0,88
194,REHANA, HARTMAN,570117439,93.0,81.0,91.0,80.0,81.0,69.0,90
195,ECHO, LAVIGNE,939110684,87.0,83.0,88.0,86.0,94.0,64.0,88
196,LOVEPREET, HAIDER,773559431,100.0,89.0,88.0,84.0,88.0,67.0,80
197,LYA, ZUNTI,736653081,95.0,86.0,82.0,92.0,85.0,70.0,85
198,ALLEN, SONEYE,379615469,88.0,75.0,84.0,87.0,82.0,63.0,87
199,SWATI, EVANS,716340080,90.0,78.0,90.0,96.0,91.0,65.0,85
200,AISLING, SUN,273297044,95.0,81.0,82.0,94.0,92.0,60.0,83
201,JOANY, DSOUZA,774028939,95.0,72.0,91.0,89.0,84.0,67.0,87
202,MICHAL, PRESTI,714449327,100.0,76.0,81.0,90.0,94.0,67.0,96
203,CEDRICK, KHAN,998733682,91.0,74.0,83.0,81.0,89.0,75.0,86
204,ANKUSH, GRAHAM,894355623,97.0,76.0,83.0,99.0,92.0,76.0,81
205,ELISSA, AMEDI,561936675,95.0,65.0,86.0,92.0,88.0,69.0,87
206,KERRY, ALHAMADNEH,921888602,98.0,75.0,87.0,85.0,90.0,66.0,91
207,AGNIESZKA, SINNO,519296551,91.0,79.0,77.0,94.0,82.0,73.0,83
208,FRANCO, AMEDI,611153142,93.0,75.0,83.0,85.0,82.0,61.0,91
209,NOEMI, BARZ,483282205,100.0,77.0,91.0,82.0,92.0,69.0,87
210,KAREY, KOZAK,723470827,91.0,67.0,82.0,92.0,95.0,74.0,86
211,MANDY, BLAKE,232267482,93.0,73.0,74.0,91.0,82.0,63.0,88
212,NATACHA, HOOD,531062921,100.0,74.0,91.0,85.0,80.0,61.0,95
213,MARWA, MOHSIN,757587905,100.0,88.0,77.0,86.0,89.0,64.0,95
214,SADIA, NGUYEN,317153506,98.0,77.0,78.0,95.0,82.0,69.0,85
215,MADDIE, LIU,99421869,96.0,74.0,80.0,90.0,85.0,62.0,95
216,SHERLY, MARCHANT,517534118,98.0,75.0,78.0,86.0,81.0,68.0,90
217,BRAEDAN, ANNAB,311187809,95.0,65.0,78.0,81.0,90.0,60.0,80
218,SUKHPREET, PASPALOFSKI,485307898,93.0,78.0,90.0,89.0,80.0,69.0,91
219,ALASDAIR, ZHANG,745707293,87.0,77.0,82.0,94.0,86.0,58.0,84
220,MONIKA, IYER,169243741,89.0,70.0,82.0,80.0,85.0,70.0,92
221,DAMIEN, JEGAJEEVAN,764383512,92.0,69.0,95.0,94.0,81.0,65.0,76
222,MAHEEN, LOURENCO,892950193,96.0,73.0,80.0,80.0,85.0,62.0,78
223,JOYCE, STATHIS,945218701,96.0,65.0,84.0,87.0,78.0,63.0,88
224,ALEXIS, LEONARD,976978025,97.0,69.0,88.0,89.0,87.0,64.0,78
225,SUKHRAJ, ARUNKUMAR,271201266,96.0,76.0,80.0,84.0,80.0,62.0,83
226,QUN, SAMOKHIN,818712492,99.0,76.0,79.0,97.0,94.0,65.0,79
227,RIA, PRABAHARAN,209237590,93.0,79.0,82.0,88.0,87.0,62.0,96
228,DENZEL, WRIGHT,215464615,97.0,75.0,86.0,86.0,92.0,74.0,86
229,INDIA, VANROOYEN,51612076,90.0,83.0,89.0,92.0,75.0,65.0,89
230,KASHMIR, SUBBARAYAPRABU,207503355,92.0,75.0,83.0,88.0,84.0,70.0,81
231,TALHA, SENIOR,453182045,92.0,74.0,87.0,90.0,87.0,66.0,90
232,KASANDRA, LOMBARDO,345697358,95.0,74.0,84.0,93.0,83.0,65.0,88
233,HIMANI, LIVERAKOS,327413591,93.0,73.0,82.0,93.0,94.0,69.0,88
234,ANTONINA, VECCHIO,226246762,90.0,76.0,93.0,93.0,83.0,62.0,93
235,EVERETT, FANNIN,134748666,97.0,64.0,83.0,92.0,76.0,60.0,75
236,SHELBY, STANISCIA,79790842,91.0,79.0,82.0,84.0,89.0,71.0,82
237,LEONIDA, ZHOU,840972625,88.0,76.0,86.0,83.0,88.0,60.0,86
238,SHAHZAD, ZHANG,410974636,100.0,81.0,80.0,89.0,92.0,66.0,87
239,HEI, FAZZARI,261853215,100.0,77.0,81.0,91.0,92.0,75.0,88
240,VIET, SREEBASKARAN,339985,95.0,79.0,81.0,88.0,89.0,66.0,86
241,TINA, FERNANDO,846493083,91.0,66.0,88.0,89.0,83.0,68.0,74
242,BADR, SATURNINO,322141208,86.0,69.0,73.0,74.0,85.0,61.0,84
243,JEAN-ROCH, PEGG,997654132,97.0,72.0,84.0,81.0,82.0,64.0,81
244,KEVIN, RAHMAN,974229936,100.0,70.0,89.0,90.0,90.0,60.0,86
245,ROXANN, GARNER,147970372,93.0,72.0,87.0,87.0,91.0,72.0,91
246,JANAYA, ELZOEIBY,248015969,94.0,72.0,82.0,91.0,92.0,69.0,93
247,PATRYK, BERNIQUER,970187185,95.0,72.0,88.0,94.0,88.0,67.0,95
248,ARIANNA, DMITROVICH,300391145,91.0,73.0,84.0,94.0,96.0,75.0,83
249,CHERISE, MILEUSNIC,149614639,92.0,78.0,79.0,91.0,90.0,65.0,90
250,DUMITRU, SHAH,849296811,94.0,65.0,86.0,87.0,100.0,100.0,85
